chr	rs	ps	n_miss	b	beta	gamma
16	rs7189274	17894208	0	-5.714870e-03	-3.483424e-05	1
16	rs7187782	17894509	0	-5.976326e-03	-3.901842e-05	1
16	rs62033247	17894547	6	-3.299037e-04	-5.709655e-06	1
16	rs7194607	17895007	0	-6.066545e-03	-4.068860e-05	1
16	rs7200159	17895012	0	-6.066545e-03	-4.068863e-05	1
16	rs2361776	17895175	2	2.067357e-03	3.438494e-06	1
16	rs8054992	17895732	0	-5.891881e-03	-3.763428e-05	1
16	rs1845376	17895733	0	1.020188e-03	1.639932e-06	1
16	chr16:17895739:I	17895739	1	1.093842e-03	1.760358e-06	1
16	rs9928657	17895990	0	-6.066545e-03	-4.068868e-05	1
16	rs9928743	17896069	0	-6.066545e-03	-4.068871e-05	1
16	rs56078865	17896078	0	-6.066545e-03	-4.068874e-05	1
16	rs62033249	17896177	2	2.057174e-03	1.106067e-04	1
16	rs62033250	17896199	2	1.488516e-03	3.666151e-05	1
16	rs9936044	17896329	0	-6.066545e-03	-4.068877e-05	1
16	rs75725409	17896338	1	-1.960089e-03	-1.567250e-05	1
16	rs7184460	17896370	0	-6.066545e-03	-4.068881e-05	1
16	rs4781927	17896381	3	2.717235e-03	4.705621e-06	1
16	rs7202082	17896524	0	-6.066545e-03	-4.068883e-05	1
16	rs4780669	17896645	0	1.149325e-03	1.851501e-06	1
16	rs7202439	17896700	0	-5.733682e-03	-3.518962e-05	1
16	rs7195939	17896899	0	-6.066545e-03	-4.068889e-05	1
16	rs57418698	17897066	0	-5.044060e-03	-2.544524e-05	1
16	rs80092501	17897318	12	3.021190e-03	8.792820e-05	1
16	rs7499772	17897505	2	2.284039e-03	6.567036e-05	1
16	rs62033251	17897550	0	-6.066545e-03	-4.068893e-05	1
16	rs56248612	17897602	0	-6.066545e-03	-4.068896e-05	1
16	rs7202488	17897960	0	9.473088e-04	1.518002e-06	1
16	rs61671028	17897977	0	-6.066545e-03	-4.068899e-05	1
16	rs62033253	17898339	2	1.760060e-03	8.746789e-05	1
16	rs9928974	17898808	0	-6.066545e-03	-4.068902e-05	1
16	rs9929157	17898978	0	-6.066545e-03	-4.068905e-05	1
16	rs9940347	17899097	0	-6.010832e-03	-3.973866e-05	1
16	chr16:17899237:I	17899237	4	3.493716e-03	6.359339e-06	1
16	chr16:17899280:D	17899280	5	-5.615580e-03	-4.979125e-05	1
16	rs9940539	17899281	3	-6.353509e-03	-5.579729e-05	1
16	rs9940540	17899282	3	-6.443469e-03	-5.846556e-05	1
16	rs62033254	17899701	1	-4.960080e-03	-2.973679e-05	1
16	chr16:17899864:I	17899864	2	3.358889e-03	2.037071e-04	1
16	rs62034791	17900106	0	-7.759768e-03	-8.776123e-05	1
16	rs62034792	17900175	0	-7.759768e-03	-8.776142e-05	1
16	rs9935726	17901244	0	-7.759768e-03	-8.776162e-05	1
16	rs62034793	17901295	1	-4.786090e-03	-2.706425e-05	1
16	rs62034794	17901349	2	2.057174e-03	1.106075e-04	1
16	rs56828028	17901398	0	-7.759768e-03	-8.776186e-05	1
16	rs13332265	17901538	0	-7.759768e-03	-8.776206e-05	1
16	rs6498741	17901573	2	1.694777e-03	2.752685e-06	1
16	rs9937583	17901727	0	-7.645183e-03	-8.207240e-05	1
16	rs9937663	17901813	0	-7.759768e-03	-8.776243e-05	1
16	rs9937758	17901932	0	-7.759768e-03	-8.776262e-05	1
16	rs9938431	17901997	0	-7.759768e-03	-8.776282e-05	1
16	rs4465598	17902104	2	2.488772e-03	4.252678e-06	1
16	rs7189222	17902445	0	-8.038648e-03	-1.008631e-04	1
16	rs7184256	17902779	0	-7.759768e-03	-8.776325e-05	1
16	rs9933983	17903447	2	2.067357e-03	3.438562e-06	1
16	rs9923614	17903758	0	-7.759768e-03	-8.776345e-05	1
16	rs4131354	17903991	0	8.276621e-04	1.319855e-06	1
16	chr16:17904391:I	17904391	0	-7.759768e-03	-8.776364e-05	1
16	rs6498743	17904489	3	1.452336e-03	2.308032e-06	1
16	rs57508580	17904495	3	-7.693624e-03	-9.805504e-05	1
16	rs9939367	17904983	0	-6.066545e-03	-4.069039e-05	1
16	rs13334065	17906331	0	-7.759768e-03	-8.776411e-05	1
16	rs13330338	17906411	0	-7.759768e-03	-8.776431e-05	1
16	rs1353164	17907057	2	3.002618e-03	5.312214e-06	1
16	rs72771729	17907140	12	2.641775e-06	1.342648e-08	1
16	rs1353163	17907255	0	6.247272e-03	1.609511e-05	1
16	rs1353162	17907269	0	6.265537e-03	1.610139e-05	1
16	rs1353161	17907331	0	1.494231e-03	2.426299e-06	1
16	rs56410304	17907373	1	-4.887266e-03	-2.860973e-05	1
16	rs7187518	17907581	0	-7.759768e-03	-8.776459e-05	1
16	rs1493870	17907660	0	1.225264e-03	1.971791e-06	1
16	rs9933645	17909221	0	4.257665e-03	8.380287e-06	1
16	chr16:17909279:D	17909279	0	-7.610998e-03	-8.111708e-05	1
16	rs9933727	17909328	0	5.412291e-03	1.199422e-05	1
16	rs4444329	17909383	0	2.563844e-03	1.540740e-05	1
16	rs7200561	17909855	0	-2.123957e-03	-7.217374e-06	1
16	rs1908210	17910289	0	-3.991709e-03	-7.565314e-06	1
16	rs62034795	17910632	0	1.075065e-03	4.226059e-05	1
16	rs12708836	17910733	1	6.784772e-03	1.961181e-05	1
16	rs11861766	17910752	1	6.784772e-03	1.961183e-05	1
16	rs12708837	17910779	0	-3.301919e-03	-5.890746e-06	1
16	rs12708838	17910891	0	-1.140496e-04	-1.962199e-07	1
16	rs8049042	17911285	0	-2.820928e-03	-9.208825e-06	1
16	rs1493869	17911521	0	-1.140496e-04	-1.962198e-07	1
16	rs1565776	17911635	1	-2.780303e-03	-9.052777e-06	1
16	rs11075381	17912026	0	3.168883e-03	1.881768e-04	1
16	rs72771736	17912354	0	-2.463478e-03	-1.673721e-05	1
16	rs9924243	17912465	0	-4.324466e-03	-8.479939e-06	1
16	rs1994893	17912586	1	-2.780303e-03	-9.052780e-06	1
16	rs76626905	17912615	1	-3.159980e-03	-1.078475e-05	1
16	rs76118320	17912626	1	-2.780303e-03	-9.052785e-06	1
16	rs4255768	17912957	0	7.815116e-04	1.351350e-06	1
16	rs7195253	17912969	0	-3.234674e-03	-1.110280e-05	1
16	rs62034796	17913390	0	-2.547216e-03	-1.753873e-05	1
16	rs12051327	17913490	0	9.822239e-04	3.721569e-05	1
16	rs7201512	17913839	0	3.524407e-03	6.648046e-06	1
16	rs4265795	17914130	1	3.756934e-03	7.266237e-06	1
16	rs4300633	17914135	1	3.756934e-03	7.266239e-06	1
16	rs8046136	17914462	0	-1.716532e-03	-3.041754e-06	1
16	chr16:17914561:D	17914561	0	6.216668e-04	2.627658e-06	1
16	rs1493868	17914589	0	4.951206e-03	9.950678e-06	1
16	rs1493867	17914608	0	-1.113412e-03	-1.935237e-06	1
16	rs1493866	17914756	0	-1.113412e-03	-1.935238e-06	1
16	rs7187441	17914781	0	-3.234674e-03	-1.110280e-05	1
16	rs4257197	17915385	0	-1.965651e-03	-3.532975e-06	1
16	rs2131744	17915589	0	-3.234674e-03	-1.110280e-05	1
16	rs72771741	17915667	0	-2.547216e-03	-1.753872e-05	1
16	rs2131743	17915706	0	-3.610405e-03	-1.298953e-05	1
16	rs8050464	17915852	0	-1.337228e-03	-2.330464e-06	1
16	rs11646781	17916115	0	-1.866482e-03	-3.332696e-06	1
16	rs4474664	17916191	0	-1.716532e-03	-3.041757e-06	1
16	rs11859788	17916277	0	-3.234674e-03	-1.110281e-05	1
16	rs4344726	17916442	0	3.225273e-05	5.412007e-08	1
16	rs6498744	17916885	0	-9.866998e-04	-1.713731e-06	1
16	rs7194444	17917252	0	3.979839e-03	7.866649e-06	1
16	rs117101355	17917611	5	-2.629831e-03	-7.213891e-05	1
16	rs4780668	17917874	0	3.679886e-03	6.969188e-06	1
16	rs4781925	17917932	0	-3.234674e-03	-1.110281e-05	1
16	rs4781924	17917977	0	-3.234674e-03	-1.110282e-05	1
16	rs4781923	17917989	0	3.889619e-03	7.608153e-06	1
16	rs8053756	17918238	0	-3.234674e-03	-1.110282e-05	1
16	rs62034797	17918523	0	1.327797e-03	5.763722e-05	1
16	rs28451399	17918599	0	-3.234674e-03	-1.110283e-05	1
16	rs8053373	17918694	1	-1.112285e-03	-1.943707e-06	1
16	chr16:17919073:I	17919073	2	-3.268320e-03	-2.639763e-05	1
16	rs8059715	17919277	0	-9.866998e-04	-1.713731e-06	1
16	rs57512483	17919376	0	-2.985555e-03	-9.924511e-06	1
16	rs59669599	17919445	0	-3.234674e-03	-1.110283e-05	1
16	rs61495631	17919525	0	-3.380977e-03	-1.182815e-05	1
16	rs28497009	17920101	0	-3.234674e-03	-1.110284e-05	1
16	rs28490564	17920298	0	-3.234674e-03	-1.110284e-05	1
16	rs4280221	17920503	0	3.889619e-03	7.608160e-06	1
16	rs7191470	17921077	1	-3.356327e-03	-1.171987e-05	1
16	rs28507396	17921988	0	-3.234674e-03	-1.110285e-05	1
16	rs4553614	17922072	0	3.889619e-03	7.608163e-06	1
16	rs4541060	17922110	0	3.889619e-03	7.608165e-06	1
16	rs11647916	17922429	0	4.064283e-03	8.099503e-06	1
16	rs7500242	17922491	3	4.889713e-03	1.053375e-05	1
