chr	rs	ps	n_miss	b	beta	gamma
6	rs114531019	29352943	3	-6.407458e-04	-2.040028e-05	1
6	rs115198017	29353408	3	-6.287402e-04	-1.925244e-05	1
6	rs116763562	29353656	3	-6.407458e-04	-2.040033e-05	1
6	rs143761276	29354227	6	-9.490491e-05	-5.332457e-06	1
6	rs140023905	29354254	3	-6.431559e-04	-2.069790e-05	1
6	rs114815606	29354383	4	-5.674861e-04	-1.455618e-05	1
6	rs116802478	29354455	3	5.247728e-05	4.533603e-06	1
6	rs116602700	29354582	8	-5.787419e-04	-1.539331e-05	1
6	rs114225595	29354621	8	-5.482008e-04	-1.342786e-05	1
6	rs115155251	29354799	9	-2.888339e-04	-4.487733e-06	1
6	rs115590310	29354809	9	-2.888339e-04	-4.487734e-06	1
6	rs114116854	29355113	5	-3.542526e-04	-5.856037e-06	1
6	rs115122391	29355148	8	-1.620499e-04	-2.355301e-06	1
6	rs115937317	29355202	6	-6.022086e-04	-1.897896e-05	1
6	chr6:29355217:D	29355217	1	-2.332268e-05	-1.742042e-06	1
6	rs116292645	29355238	0	-1.172311e-04	-2.047547e-05	1
6	chr6:29355382:D	29355382	1	-1.620188e-04	-8.789278e-06	1
6	rs116178183	29355494	0	-2.280261e-04	-2.078449e-05	1
6	rs114296655	29355519	27	3.295585e-05	4.421310e-07	1
6	rs116011517	29355558	24	8.184615e-05	1.082904e-06	1
6	rs115725324	29355702	3	-5.360297e-05	-7.440366e-07	1
6	rs114264730	29355918	8	5.100607e-05	7.625448e-07	1
6	rs116053432	29356046	4	1.918422e-04	2.678836e-06	1
6	rs115601551	29356118	6	8.371816e-05	1.263035e-06	1
6	rs114823772	29356331	0	3.049276e-04	2.319278e-05	1
6	rs114187207	29356587	3	-2.877091e-04	-4.025336e-06	1
6	rs116606982	29356634	5	-2.444781e-04	-3.531514e-06	1
6	rs114645253	29356687	0	2.825018e-04	2.014289e-05	1
6	rs114205369	29356734	10	-3.334855e-04	-5.363199e-06	1
6	rs116466664	29357021	5	-2.624440e-04	-3.872714e-06	1
6	rs115809203	29357362	5	-2.569588e-04	-3.770703e-06	1
6	rs114286028	29357389	5	-2.569588e-04	-3.770703e-06	1
6	rs114093123	29357645	0	-1.997458e-04	-2.189311e-05	1
6	rs114715545	29357996	5	-2.569588e-04	-3.770703e-06	1
6	rs114354123	29358676	6	3.290184e-05	4.900031e-07	1
6	rs115333613	29358933	5	-2.336893e-04	-3.328639e-06	1
6	rs116774819	29359112	5	-2.569588e-04	-3.770704e-06	1
6	rs116568467	29359410	5	-2.031082e-04	-2.832661e-06	1
6	rs115990382	29359842	5	-2.569588e-04	-3.770704e-06	1
6	rs139229167	29360031	6	3.290184e-05	4.900027e-07	1
6	rs115359223	29360183	5	-2.569588e-04	-3.770704e-06	1
6	rs116065927	29360269	5	-2.944070e-04	-4.533377e-06	1
6	rs116376133	29360677	5	-2.569588e-04	-3.770705e-06	1
6	rs115613267	29360776	5	-3.294915e-04	-5.265534e-06	1
6	chr6:29360911:I	29360911	3	7.948394e-05	1.164964e-05	1
6	rs116091531	29360915	3	2.372959e-05	3.372104e-06	1
6	rs116168909	29361017	0	5.013085e-05	3.702378e-06	1
6	rs114913888	29361033	0	6.131185e-05	4.654871e-06	1
6	rs114024614	29361116	5	-2.569588e-04	-3.770706e-06	1
6	rs114601916	29361124	5	-2.569588e-04	-3.770706e-06	1
6	rs115271120	29361273	5	-2.600314e-04	-3.816619e-06	1
6	rs114093541	29361370	5	-2.667779e-04	-3.959397e-06	1
6	rs114441653	29361707	1	3.088880e-04	1.211582e-05	1
6	rs116465071	29361735	5	-2.569588e-04	-3.770707e-06	1
6	rs116259827	29362293	5	-2.651813e-04	-3.918612e-06	1
6	rs115877558	29362507	5	-2.920433e-04	-4.421443e-06	1
6	rs115252358	29362696	5	-2.569588e-04	-3.770708e-06	1
6	rs114904515	29362756	4	-2.323593e-04	-6.983734e-06	1
6	rs116572290	29362903	5	-2.569588e-04	-3.770709e-06	1
6	rs112545826	29363697	5	-1.665009e-04	-2.223927e-06	1
6	rs9257829	29363808	5	-2.569588e-04	-3.770710e-06	1
6	rs186639242	29364002	5	3.082541e-04	3.064055e-05	1
6	rs4713215	29364121	5	-2.569588e-04	-3.770710e-06	1
6	rs3128852	29364135	0	3.810707e-04	2.292786e-05	1
6	rs4713216	29364147	5	-2.569588e-04	-3.770711e-06	1
6	rs115822770	29364325	5	-2.569588e-04	-3.770711e-06	1
6	rs115559769	29364615	5	-2.569588e-04	-3.770711e-06	1
6	rs115816036	29364643	5	-2.569588e-04	-3.770711e-06	1
6	rs116802116	29364787	0	-1.393334e-05	-1.126943e-06	1
6	rs116611974	29364815	5	-2.569588e-04	-3.770712e-06	1
6	rs114787733	29364835	5	-2.569588e-04	-3.770712e-06	1
6	rs115465647	29364838	6	3.290184e-05	4.899991e-07	1
6	rs114525833	29364951	5	-2.569588e-04	-3.770712e-06	1
6	rs115969644	29365241	5	-2.944070e-04	-4.533385e-06	1
6	rs116175159	29365423	5	-2.200931e-04	-3.021698e-06	1
6	rs114756492	29365645	5	-2.200931e-04	-3.021698e-06	1
6	rs114129434	29365974	5	-2.569588e-04	-3.770714e-06	1
6	rs115119732	29366033	0	1.612195e-04	4.416237e-06	1
6	rs116744838	29366042	5	-2.944070e-04	-4.533387e-06	1
6	rs115819391	29366265	5	-2.569588e-04	-3.770714e-06	1
6	rs116266101	29366377	5	-2.569588e-04	-3.770714e-06	1
6	rs114263074	29367197	4	-1.818400e-04	-5.311447e-06	1
6	rs114926928	29367399	5	-2.346192e-04	-3.378034e-06	1
6	rs114911552	29367498	5	-3.178161e-04	-5.069959e-06	1
6	rs114836020	29367532	5	-3.178161e-04	-5.069959e-06	1
6	rs115752118	29367590	5	-3.178161e-04	-5.069960e-06	1
6	rs114930976	29367742	5	-3.178161e-04	-5.069961e-06	1
6	rs115667896	29367880	5	-2.803679e-04	-4.244077e-06	1
6	rs115237669	29368021	4	-2.254610e-04	-7.160974e-06	1
6	rs116680541	29368134	8	-1.516198e-04	-2.042113e-06	1
6	chr6:29368149:I	29368149	9	-2.409313e-04	-3.449892e-06	1
6	rs114711836	29368283	5	-3.178161e-04	-5.069963e-06	1
6	rs115830259	29368570	5	-2.803679e-04	-4.244079e-06	1
6	rs116281326	29368665	5	-1.863929e-04	-2.493977e-06	1
6	rs115600745	29368813	6	5.317055e-05	7.986059e-07	1
