chr	rs	ps	n_miss	b	beta	gamma
8	rs6578216	142748356	19	-4.712508e-04	-8.112536e-06	1
8	rs6578217	142748412	23	3.933895e-04	7.672987e-06	1
8	rs151247115	142819342	7	6.375705e-04	5.806377e-06	1
8	rs140611987	142819367	7	-1.163209e-03	-1.179044e-05	1
8	rs188653538	142819425	28	-1.341968e-03	-1.344463e-05	1
8	rs192349124	142819468	9	-8.496633e-04	-7.916464e-06	1
8	rs183247069	142819493	26	2.105032e-04	2.259908e-06	1
8	rs187363960	142819542	7	1.880637e-04	1.002140e-05	1
8	rs150473765	142819544	0	8.739336e-04	8.904016e-05	1
8	rs145365022	142819563	28	2.299465e-03	8.002739e-05	1
8	rs9324554	142825926	0	1.597696e-03	1.848540e-05	1
8	rs62512982	142827360	6	-2.378622e-03	-5.024180e-05	1
8	rs78882655	142827435	1	2.090488e-04	1.082078e-05	1
8	rs79246231	142827678	0	2.540310e-04	1.620722e-05	1
8	rs12679521	142827950	7	4.823399e-04	3.842126e-06	1
8	rs11167091	142827997	0	2.073651e-03	2.767099e-05	1
8	rs78252114	142829484	1	2.791007e-04	1.450238e-05	1
8	rs115746190	142829650	2	-5.679488e-04	-3.804101e-05	1
8	chr8:142829778:I	142829778	1	1.696164e-04	9.215632e-06	1
8	rs142072007	142830689	0	5.631186e-05	3.501794e-06	1
8	rs12549657	142830692	1	1.951105e-03	2.387976e-05	1
8	rs72689001	142830824	16	4.789388e-04	1.485160e-05	1
8	rs13275144	142831328	1	1.951105e-03	2.387976e-05	1
8	rs12155631	142831534	5	-2.541746e-03	-5.964618e-05	1
8	rs75327751	142832117	2	2.787237e-04	9.329308e-06	1
8	rs117224774	142832154	0	5.631186e-05	3.501792e-06	1
8	rs12156174	142832285	7	-2.355262e-03	-4.947257e-05	1
8	rs9721305	142832467	2	1.833926e-03	2.140801e-05	1
8	rs9720181	142832695	1	1.556236e-03	1.745714e-05	1
8	rs9720679	142832751	5	-2.522138e-03	-5.840261e-05	1
8	rs11784579	142833568	1	1.545604e-03	1.653345e-05	1
8	rs11775168	142833750	0	1.326874e-03	1.402910e-05	1
8	rs113815069	142834094	0	3.240712e-04	2.082915e-05	1
8	rs62512983	142834409	5	-2.417951e-03	-5.209894e-05	1
8	rs144888055	142834568	0	1.685481e-04	1.047123e-05	1
8	rs9772153	142834570	2	1.016615e-03	1.191665e-05	1
8	rs13263520	142834797	6	9.242315e-04	7.693186e-06	1
8	rs11785612	142834855	1	1.529019e-03	1.624617e-05	1
8	rs61453208	142834966	2	7.458266e-04	1.807799e-05	1
8	rs117314309	142835013	1	8.690593e-04	6.576390e-05	1
8	rs11778614	142835153	2	1.023781e-03	1.202113e-05	1
8	rs75203493	142835832	2	4.504925e-04	1.597679e-05	1
8	rs11167092	142835918	3	9.502739e-04	1.103252e-05	1
8	rs149307122	142836697	0	3.297302e-04	2.012597e-05	1
8	rs13274472	142837649	4	6.921259e-04	7.640874e-06	1
8	rs73369656	142838283	1	4.316277e-04	2.679709e-05	1
8	rs62512986	142838392	7	-2.244324e-03	-4.459004e-05	1
8	rs62512987	142838952	6	-3.142791e-03	-9.086959e-05	1
8	rs58058193	142839029	1	-2.003294e-03	-2.359603e-05	1
8	rs79529732	142839288	4	6.351824e-04	2.006835e-05	1
8	rs9694154	142839317	0	-2.351293e-03	-3.124928e-05	1
8	rs9694100	142839492	0	-2.259668e-03	-2.848401e-05	1
8	rs9694190	142839617	0	4.782652e-04	1.075913e-05	1
8	rs9693309	142839772	5	1.312363e-03	3.539355e-05	1
8	rs9693323	142839856	0	-2.744190e-03	-4.446211e-05	1
8	rs11776017	142840582	0	9.154491e-04	2.331126e-05	1
8	rs62512989	142841000	6	-3.389815e-03	-1.152042e-04	1
8	rs79434366	142841418	4	7.927940e-04	2.518362e-05	1
8	rs12682375	142841497	0	5.523039e-04	4.391014e-06	1
8	rs77120891	142841706	1	1.276690e-04	7.590000e-06	1
8	rs9693774	142841945	0	5.204950e-04	1.170113e-05	1
8	rs9720892	142842650	0	5.185874e-04	1.168820e-05	1
8	rs28639741	142842874	1	1.822476e-04	6.202576e-06	1
8	rs11775314	142843262	7	8.309748e-04	7.251489e-06	1
8	rs76085530	142843655	4	5.375024e-04	1.639716e-05	1
8	rs9774290	142843827	0	1.093861e-03	9.357759e-06	1
8	rs10107266	142844090	0	-1.478991e-03	-1.379951e-05	1
8	rs12547520	142844299	1	-2.209743e-03	-2.800801e-05	1
8	rs12547535	142844373	6	-3.309453e-03	-1.053821e-04	1
8	rs9693553	142845200	1	-1.593210e-05	-6.072478e-07	1
8	chr8:142845299:I	142845299	9	-3.368908e-03	-1.354409e-04	1
8	rs11167094	142845304	7	2.688505e-03	5.747538e-05	1
